Artist_Name,Artist_ID
Maml,750
Downlowd,751
Asher Knight,752
Two Neighbors,753
Royse,754
Seven Lights,755
Scriss,756
KINGDØMS,757
Plastician,758
Guy Tang,759
Eivind Husebø,760
Natixx,761
Modhayan,762
Davina Leone,763
TYFI,764
Don Mills,765
Camila Cabello,766
Fifth Harmony,767
Shannon K,768
Adele,769
Josh Stanley,770
Beyoncé,771
Doje,772
Ant Saunders,773
Foster The People,774
Miley Cyrus,775
The FifthGuys,776
John Legend,777
Connor Bvrns,778
Elle King,779
R. City,780
ØMG,781
Surfaces,782
Joanna Crass,783
Alicia Keys,784
Pochin Mirkin,785
MAGIC!,786
Paul Butcher,787
Labrinth,788
Meghan Trainor,789
One Direction,790
Pitbull,791
ZAYN,792
Chris Linton,793
Louis Tomlinson,794
John Mayer,795
A Great Big World,796
Train,797
Imagine Dragons,798
BENEE,799
Herb Barclay,800
Tokyo Tav,801
Pink Sweat$,802
Urchin,803
Travis Scott,804
blackbear,805
Kanye West,806
Arizona Zervas,807
Y2K,808
Lizzo,809
Lil Tecca,810
Ali Gatie,811
Bad Bunny,812
Rauw Alejandro,813
YNW Melly,814
Lil Mosey,815
Sech,816
ROSALÍA,817
Diplo,818
Noah Cyrus,819
Bazzi,820
Dermot Kennedy,821
Summer Walker,822
Aaron Smith,823
Selena Gomez & The Scene,824
Nick Jonas,825
Demi Lovato,826
Cher Lloyd,827
Jesse McCartney,828
Bridgit Mendler,829
Austin Mahone,830
Cody Simpson,831
JoJo,832
Ashley Tisdale,833
Hannah Montana,834
The Cheetah Girls,835
Victorious Cast,836
Jordin Sparks,837
Jessie J,838
Hilary Duff,839
Madison Beer,840
Kelly Clarkson,841
Vanessa Hudgens,842
Big Time Rush,843
Little Mix,844
Hot Chelle Rae,845
The Wanted,846
The Vamps,847
Christopher Wilde,848
Zendaya,849
Miranda Cosgrove,850
Aly & AJ,851
DNCE,852
Sabrina Carpenter,853
Liam Payne,854
Pia Mia,855
The Pussycat Dolls,856
Lucy Hale,857
Glee Cast,858
Bea Miller,859
MKTO,860
Emily Osment,861
Tori Kelly,862
Avril Lavigne,863
High School Musical Cast,864
Hailee Steinfeld,865
Christina Grimmie,866
Alessia Cara,867
The Saturdays,868
Fergie,869
David Archuleta,870
Austin Moon,871
Joe Jonas,872
Julia Michaels,873
Pixie Lott,874
Rixton,875
China Anne McClain,876
Cimorelli,877
PRETTYMUCH,878
Olivia Holt,879
Jordan Pruitt,880
Olly Murs,881
Leona Lewis,883
The Veronicas,884
Jack & Jack,885
Bebe Rexha,886
Corbin Bleu,887
Karmin,888
Nicole Scherzinger,889
Jennette McCurdy,890
Sofia Carson,891
Christina Perri,892
Lindsay Lohan,893
Adam Lambert,894
Nick Jonas & The Administration,895
Conor Maynard,896
Jason Derulo,897
Allstar Weekend,898
Victoria Justice,899
Shane Harper,900
Adam Hicks,901
Rowan Blanchard,902
Laura Marano,903
Bely Basarte,904
Carmen López,906
Fernando García Baró,907
Helen Quiroga,908
Marta Martorell,910
María Parrado,911
"Matthew ""Mdot"" Finley",912
Cast Of Camp Rock,913
Anna Margaret,916
Nick Strand,917
Astrid S,918
Anna Clendening,919
Charlotte Lawrence,920
JP Saxe,921
Alec Benjamin,922
Matt and Kim,923
Natasha Bedingfield,924
DJ White Shadow,925
Capital Cities,926
Mr. Probz,927
will.i.am,928
Nicki Minaj,929
Mike Posner,930
Tove Lo,931
CLMD,932
Ruben,933
Seeb,934
The Lounge Lizards,935
The Neighbourhood,936
Lonely The Brave,937
Sleeping With Sirens,938
You Me At Six,939
All Time Low,940
AS IT IS,941
The Friday Night Boys,942
Mayday Parade,943
The Audition,944
Boys Like Girls,945
Transit,946
Man Overboard,947
The Years Gone By,948
Sparks The Rescue,949
fun.,950
blink-182,951
Box Car Racer,952
Bowling For Soup,953
Emblem3,954
Krewella,955
Plain White T's,956
Rihanna,957
Troye Sivan,958
WALK THE MOON,959
Bruno Mars,960
Daniel Powter,961
Backstreet Boys,962
Gotye,963
Hozier,964
Wham!,965
Idina Menzel,966
American Authors,967
Anne-Marie,968
Zac Efron,969
Becky G,970
The Aces,971
The Summer Set,972
Kid Ink,973
Marianas Trench,974
Dove Cameron,975
R5,976
Pat Benatar,978
Belinda Carlisle,979
Kim Petras,980
Jessie Paege,981
lovelytheband,982
Waterparks,983
Young the Giant,984
Kat Dahlia,985
Troy Murray,986
Lil Baby,987
Mustard,988
L0uie L0u,989
Kodak Black,990
Jae Mazor,991
A Boogie Wit da Hoodie,992
Orion Paxx,993
Only1Tipy,994
Blueface,995
Rippa da Kid,996
21 Savage,997
Fayn,998
Cardi B,999
Meek Mill,1000
Paulo Londra,1001
Fall Out Boy,1002
Far East Movement,1003
Flo Rida,1004
Green Day,1005
The Offspring,1006
Taio Cruz,1007
Blue Swede,1008
Rupert Holmes,1009
Blue Öyster Cult,1010
Warrant,1011
Foreigner,1012
Loverboy,1013
Lynyrd Skynyrd,1014
Led Zeppelin,1015
Chamillionaire,1016
Boney M.,1017
Usher,1018
Kansas,1019
Men At Work,1020
Cobra Starship,1021
Twenty One Pilots,1022
The Killers,1023
LMFAO,1024
Def Leppard,1025
Tsuko G.,1026
Van Halen,1027
TOTO,1028
Duran Duran,1029
Whitesnake,1030
Fountains Of Wayne,1031
